seed,data_noise_std,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,0.5,0.9998,0.5959365369250086,0.9997999999920001,0.6346611030151117,1.0,0.6521755332747239,0.9936,0.6503823764410456,0.9935997378452622,0.6838112694219297,0.9999838400000001,0.7157368635744734,0.9844,0.6032416390822966,0.9843962026598794,0.6411154749816033,0.99993168,0.7167339713049032,0.9466,0.6780047939732907,0.946447291237802,0.7069490535088497,0.99997776,0.7164628560941619,0.9764,0.5909142791918731,0.9763868484190956,0.6293297276050337,0.99984016,0.7180267172299607,0.9746,0.6540349275196895,0.9745836023568966,0.6870742793085898,0.99984256,0.7187510267997748,1.0,0.5755050793288438,1.0,0.6164649737026345,1.0,0.6660409565887087
0,2.5,1.0,0.4060038808355211,1.0,0.4488309434445465,1.0,0.5131944872973347,1.0,0.5967355324734619,1.0,0.6326610644023389,1.0,0.5710358716758734,0.9972,0.3822622988243351,0.997199978047828,0.40085392202042186,1.0,0.5836321103630443,0.993,0.674580527337062,0.9929996569831921,0.6895880124710219,1.0,0.5817847122436206,0.9958,0.35269946353156034,0.9957999259106931,0.35588679454971783,0.9999998400000001,0.5961510936369269,0.9994,0.5751626526652208,0.9993999997840001,0.6160477186117997,1.0,0.6028619764723608,1.0,0.5056500399497774,1.0,0.5522268702709552,1.0,0.4419029675214716
0,0.05,0.994,0.5421755507362174,0.9939998118340991,0.5815717553356905,0.99923776,0.6527268195693412,0.9832,0.6361145987900925,0.9831967065544847,0.67132089704021,0.99937248,0.7199100182800413,0.9722,0.5589544572537382,0.9721842440431959,0.5977139075901464,0.99914736,0.7214491961510135,0.9338,0.6751512384431001,0.9335086054528808,0.7049486675396784,0.9990408,0.7212835457990766,0.9636,0.5426321196210478,0.9635607972481114,0.5807948625016827,0.99873776,0.7229746700015788,0.9602,0.6412509987444356,0.9601466139982476,0.675909315309883,0.9981008,0.7241501704187099,1.0,0.5378381463303276,1.0,0.5817295243100814,1.0,0.646028839349612
0,0.0,0.996,0.6136285812121904,0.9959999359989761,0.650769118022687,0.9989728,0.6550237255862076,0.9766,0.6334893277023171,0.9765932354450437,0.6689652973407959,0.9989112,0.7270215233260859,0.973,0.5634060038808355,0.9729857094402938,0.6018901075867267,0.9985881600000001,0.7288034466813431,0.928,0.6743522428946467,0.9276331405480198,0.7041485331576658,0.9984827199999999,0.7274602122600493,0.9664,0.5466270973633147,0.9663697327594835,0.5847363931017365,0.99798976,0.7302628847844501,0.9546,0.6423924209565118,0.9545377621964469,0.6769334052091184,0.99711248,0.7303193036754825,1.0,0.5430886885058783,1.0,0.5863075738402496,1.0,0.6568740889030292
1,0.0,0.984,0.3009327442317133,0.9839994239792632,0.30578222333750343,0.998764,0.31433314020704073,0.931,0.24022254950090002,0.9309695575748905,0.21669275874688618,0.9903059199999998,0.22204183996481844,0.9372,0.24447717231222385,0.9371915484947655,0.22847552273500174,0.99031392,0.22255057168832743,0.93,0.2300769104892816,0.9297829337701397,0.1932252114327752,0.98948368,0.2201839521919754,0.9346,0.2475863197512682,0.9345836694672458,0.2356357414005215,0.9888961600000001,0.22186443978491494,0.9224,0.2341678939617084,0.9222706085458096,0.204272890611775,0.9869355200000001,0.21842896615170868,1.0,0.3559155621011291,1.0,0.3679610214175663,1.0,0.285523784261162
1,0.05,0.9884,0.30535100638193424,0.9883999981439996,0.31110164245669725,0.99928064,0.3159870298082851,0.9374,0.23498609065619375,0.9373801595297453,0.21043020796499923,0.9912856000000001,0.21702047612090075,0.94,0.24054982817869416,0.9399919253134702,0.22479577081535296,0.99133104,0.21763608122280476,0.9324,0.22811323842251677,0.9321590179772982,0.18987754800934928,0.9906884799999999,0.2149650892332533,0.9366,0.24284077892325315,0.9365799059774099,0.23138270609223557,0.98991008,0.21715575278454496,0.9274,0.22893143511700212,0.9272655139352665,0.19654722706314437,0.98823312,0.21347897157962464,1.0,0.35117002127311403,1.0,0.3633246344434363,1.0,0.27339449828364726
1,2.5,0.9992,0.2852233676975945,0.9991999998719999,0.2858010214922636,0.9999985600000001,0.28772852910217456,0.9968,0.24185894288987073,0.9967999749118033,0.2239010012154754,0.99995408,0.23047364403799397,0.9916,0.25871379479626905,0.9915995645214247,0.25506227534196135,0.9999454400000001,0.23087682626504744,0.9702,0.23384061528391425,0.9701735128863836,0.196672991869487,0.99994832,0.22961998089277302,0.9856,0.26853215513009326,0.9855974905067458,0.2700508458803437,0.99989936,0.22909151129307398,0.9802,0.23596792668957617,0.9801922345636384,0.20994360548343466,0.99984848,0.22708161780298664,1.0,0.3177875961381116,1.0,0.32494260488445215,1.0,0.2716978834016256
1,0.5,0.995,0.28653248240877105,0.9949999277989573,0.28831050951090814,0.99987664,0.3020396928690183,0.966,0.2475863197512682,0.965999912959777,0.23407054622738244,0.99647536,0.22308373505126672,0.9646,0.2569137620684012,0.9645843817123352,0.249852525887265,0.9965896,0.2233430955585205,0.9452,0.23433153330060547,0.9450421081751027,0.2071066849348426,0.9962872,0.22197925645494748,0.9592,0.26133202421862217,0.959170674745429,0.25804060843605775,0.9957134400000001,0.22289261464035304,0.9458,0.23940435280641467,0.9457224460598281,0.21831375438536876,0.99461312,0.22075466566083735,1.0,0.2974963181148748,1.0,0.3059250469409415,1.0,0.2652760931714411
2,0.0,0.9996,0.6802989412497406,0.9995999999359999,0.677290706822051,1.0,0.6920243842740234,0.9956,0.7247249325306208,0.9955999148143508,0.7265338760869514,0.99999856,0.818121658868476,0.9996,0.74444675108989,0.9996,0.7395862714481073,0.99999952,0.8191251955459857,0.9914,0.7238945401702305,0.9913993638969539,0.7250500871626522,0.9999939200000001,0.8268189767402263,0.9886,0.6383641270500311,0.9885985182634337,0.6283269806289447,0.99999856,0.8108432687839435,0.997,0.7589786173967199,0.9969999941199883,0.7517564762137299,0.9999745600000001,0.8359721251636202,1.0,0.5827278389038821,1.0,0.5849894686135095,1.0,0.6552949064039757
2,2.5,1.0,0.5908241644176874,1.0,0.5793052384267118,1.0,0.6808657587893708,0.9998,0.5779530828316379,0.9997999999920001,0.5512163017409979,1.0,0.7224541775007715,1.0,0.6464604525638364,1.0,0.6482164946272276,1.0,0.7306676409970806,0.9998,0.6188499065808595,0.9997999999920001,0.6056744522946271,1.0,0.7344802999613341,0.9998,0.5611376375337347,0.9997999999920001,0.5265271235385822,1.0,0.7204861246599008,0.995,0.5490969483080755,0.9949998749968748,0.5049610318023902,1.0,0.7241833183754696,1.0,0.5997508822918829,1.0,0.6024762904255827,1.0,0.6890178536588827
