seed,max_samples_per_class,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,5,1.0,0.5227713731309211,1.0,0.5687875850512611,1.0,0.5316340882298493,1.0,0.4959479511471293,1.0,0.5422597352090436,1.0,0.5396168003276143,1.0,0.4734619335692273,1.0,0.5181390288932289,1.0,0.5391286647235274,1.0,0.6689875584978884,1.0,0.6713264834871485,1.0,0.5312917281410857,1.0,0.4548567515123844,1.0,0.4956233777394627,1.0,0.541146922325452,1.0,0.6243579500057072,1.0,0.6471301630231446,1.0,0.5330960106875331,1.0,0.5405775596393105,1.0,0.5849253809229644,1.0,0.5639787018686353
0,500,0.992,0.6299509188448807,0.992,0.6656437406413305,0.99956,0.672707521744113,1.0,0.6032416390822966,1.0,0.6412205639709501,1.0,0.7072580018256,0.991,0.5653464216413652,0.9909992709409462,0.6041123455492735,1.0,0.7080701453507707,0.97,0.6678461362858121,0.9699729756781102,0.6979865086593996,1.0,0.7060448353874671,0.987,0.5461705284784842,0.9869978026286443,0.5847318333264901,1.0,0.7091886658935782,0.979,0.6486702431229312,0.9789907349140972,0.6820974392237856,1.0,0.7085109980774301,1.0,0.5535897728569797,1.0,0.595976673391788,1.0,0.6414392747608006
0,50,1.0,0.6073507590457711,1.0,0.644388013894574,1.0,0.6185659023135752,1.0,0.5559867595023399,1.0,0.5983931327411398,1.0,0.626144866722391,1.0,0.5211733820340144,1.0,0.5636663020759725,1.0,0.6262742935817902,1.0,0.6484419586805159,1.0,0.6758153456021003,1.0,0.6252635619714235,1.0,0.5043944755164935,1.0,0.5457848485064464,1.0,0.6289859265320253,1.0,0.6205912567058555,1.0,0.6550341163825844,1.0,0.63078916725236,1.0,0.547768519575391,1.0,0.5915209080013981,1.0,0.5538716261863795
0,5000,0.9933,0.5437735418331241,0.9932998117917132,0.5836293364297013,0.99912528,0.6546299954560354,0.9608,0.6434197009473804,0.9607582954861107,0.6778993276204425,0.9976931999999998,0.7338108636818614,0.9683,0.5921698436251569,0.96828248400179,0.6302595954516182,0.9974266,0.7338502126527378,0.8877,0.6942129893847734,0.8862708326541738,0.7206119826426477,0.9975634400000001,0.7342961142290206,0.9603,0.5820111859376783,0.9602635183335467,0.6202579006285384,0.9960784800000001,0.7349030981504381,0.9138,0.6680744207282274,0.9131903846850277,0.6994227960608741,0.99508032,0.7362728590673733,1.0,0.5305330441730396,1.0,0.5744513876510146,1.0,0.6577097937264437
0,2500,0.996,0.6136285812121904,0.9959999359989761,0.650769118022687,0.9989728,0.6550237255862076,0.9766,0.6334893277023171,0.9765932354450437,0.6689652973407959,0.9989112,0.7270215233260859,0.973,0.5634060038808355,0.9729857094402938,0.6018901075867267,0.9985881600000001,0.7288034466813431,0.928,0.6743522428946467,0.9276331405480198,0.7041485331576658,0.9984827199999999,0.7274602122600493,0.9664,0.5466270973633147,0.9663697327594835,0.5847363931017365,0.99798976,0.7302628847844501,0.9546,0.6423924209565118,0.9545377621964469,0.6769334052091184,0.99711248,0.7303193036754825,1.0,0.5430886885058783,1.0,0.5863075738402496,1.0,0.6568740889030292
1,5000,0.9863,0.29078710522009493,0.9862993477119446,0.2892568471841684,0.9991172799999999,0.32582395403096776,0.9302,0.24005891016200295,0.930179821968549,0.21572745228379603,0.9890926400000001,0.22217988474524542,0.9317,0.24971363115693013,0.9316795523732299,0.2363938698647383,0.9889462000000001,0.22254202663217193,0.9249,0.2330224185894289,0.9246762696900467,0.19813541858427292,0.98797828,0.22027999380904661,0.9274,0.2536409752904598,0.9273531311460902,0.24482694400526678,0.98731032,0.22192172776702757,0.9175,0.23727704140075273,0.9173850586582606,0.20835322990179297,0.9850018799999999,0.21849142930867607,1.0,0.3469153984617902,1.0,0.35825823176300503,1.0,0.2903453622851069
1,500,0.981,0.27982326951399117,0.980999980999981,0.2833281805197747,0.997856,0.29439162690407317,0.958,0.2374406807396498,0.957975794057377,0.22045277962617485,0.995772,0.20911810447065302,0.956,0.24169530355097366,0.9559998239992961,0.23119011031592407,0.99572,0.20946748894979816,0.955,0.22942235313369333,0.9549086900974474,0.1979382922830266,0.995264,0.2078576485112707,0.951,0.24562264768450334,0.9509960306784849,0.23963080743291726,0.9951920000000001,0.20912965834939842,0.955,0.22974963181148747,0.9549166408689668,0.20351350417873784,0.994016,0.20686630164433356,1.0,0.32106038291605304,1.0,0.33045008501535733,1.0,0.24947351622321035
1,5,1.0,0.28424153166421207,1.0,0.2799496606565826,1.0,0.25701952292590424,1.0,0.33611520209458357,1.0,0.354526182183176,1.0,0.22569912399935588,1.0,0.33906071019473083,1.0,0.3576238847271625,1.0,0.22566193495214407,1.0,0.29782359679266895,1.0,0.3062483988873934,1.0,0.22611915563291307,1.0,0.3442971690394371,1.0,0.36285671935775343,1.0,0.22542086808623718,1.0,0.30911471117656686,1.0,0.32279525012021715,1.0,0.2256606110702045,1.0,0.35182457862870237,1.0,0.36845315955718155,1.0,0.2327146151029896
1,50,1.0,0.23498609065619375,1.0,0.19166760678651767,1.0,0.2724762056291941,1.0,0.23989527082310588,1.0,0.21475412690484702,1.0,0.22366130863563377,1.0,0.2397316314842088,1.0,0.21339521981094686,1.0,0.22350846044806424,1.0,0.230895107183767,1.0,0.18420590431369033,1.0,0.22533301046661064,1.0,0.24120438553428244,1.0,0.21998635061289376,1.0,0.2235974012438232,1.0,0.2330224185894289,1.0,0.19256542663414936,1.0,0.22550318947229825,1.0,0.24774995909016528,1.0,0.22959350014457508,1.0,0.2403348795472035
1,2500,0.984,0.3009327442317133,0.9839994239792632,0.30578222333750343,0.998764,0.31433314020704073,0.931,0.24022254950090002,0.9309695575748905,0.21669275874688618,0.9903059199999998,0.22204183996481844,0.9372,0.24447717231222385,0.9371915484947655,0.22847552273500174,0.99031392,0.22255057168832743,0.93,0.2300769104892816,0.9297829337701397,0.1932252114327752,0.98948368,0.2201839521919754,0.9346,0.2475863197512682,0.9345836694672458,0.2356357414005215,0.9888961600000001,0.22186443978491494,0.9224,0.2341678939617084,0.9222706085458096,0.204272890611775,0.9869355200000001,0.21842896615170868,1.0,0.3559155621011291,1.0,0.3679610214175663,1.0,0.285523784261162
