seed,max_samples_per_class,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,5,1.0,0.5200655200655201,1.0,0.5897727089788983,1.0,0.5385321994505237,1.0,0.5071662571662572,1.0,0.5782544111308545,1.0,0.5061910135756941,1.0,0.5298935298935299,1.0,0.5987980347911045,1.0,0.5079361720707467,1.0,0.4772727272727273,1.0,0.5493971976063916,1.0,0.5011486609032102,1.0,0.5423832923832924,1.0,0.6094986639279834,1.0,0.5114120468331217,1.0,0.4871007371007371,1.0,0.5591997112292145,1.0,0.506620921749995,1.0,0.509009009009009,1.0,0.5795564203859168,1.0,0.5279091012903963
0,500,0.977,0.6998361998361998,0.976999976999977,0.7398366655563412,0.9971239999999999,0.6785368343980278,0.988,0.737919737919738,0.987999951999808,0.7675313567515918,0.999496,0.743949378312476,0.988,0.7573710073710074,0.987998799879988,0.7796845264980375,0.9995160000000001,0.7446291706130893,0.962,0.6605241605241605,0.961945048650251,0.7099425185333504,0.999368,0.742178022288052,0.985,0.7694512694512694,0.9849966242404541,0.7871674073791857,0.999412,0.7460186472670604,0.965,0.6846846846846847,0.9649618434475143,0.7291439575606847,0.999036,0.7448128891844508,1.0,0.6128173628173628,1.0,0.6689614270066363,1.0,0.6885637708320738
0,50,1.0,0.7129402129402129,1.0,0.7412218701600044,1.0,0.6380609797875985,1.0,0.6658476658476659,1.0,0.7116585886277397,1.0,0.6861297516608562,1.0,0.6795659295659295,1.0,0.7219968309061089,1.0,0.6865727585998429,1.0,0.530917280917281,1.0,0.5946053929646332,1.0,0.6815572751882529,1.0,0.6938984438984439,1.0,0.732061278435432,1.0,0.687507137147425,1.0,0.569000819000819,1.0,0.6309377450711301,1.0,0.6838022019359302,1.0,0.6263308763308764,1.0,0.6803137526020789,1.0,0.6541190576950205
0,5000,0.9758792615550465,0.8136773136773137,0.975806663738826,0.8042472376531207,0.9971955390334573,0.6142111520867339,0.9741274760813906,0.826986076986077,0.9740539612449212,0.8151383887445398,0.997682693102024,0.7534231438378709,0.9451556394016979,0.8394758394758395,0.9438693163565128,0.8132938800804111,0.9970504750103264,0.7570699742726827,0.9738579706239051,0.8083538083538083,0.9740540609120428,0.8110175118259919,0.9973797604295745,0.7545415768225754,0.937339981134618,0.8445945945945946,0.935563403956067,0.8150281653531739,0.9964155307724081,0.7594086075677273,0.9727799487939631,0.8273955773955773,0.9728725457376408,0.8197596311716592,0.99636819496076,0.7585464401587974,1.0,0.7305487305487306,1.0,0.753557848867985,1.0,0.7008460458523936
0,2500,0.968705547652916,0.7618755118755118,0.968707491437261,0.781754025806406,0.997432135481206,0.6575452243247418,0.9644381223328592,0.7612612612612613,0.9644403957134772,0.784001558810719,0.9959454770755886,0.7609881842425219,0.9650477545214388,0.7735462735462736,0.9650373808830894,0.7902855756497307,0.9962101610904585,0.7608914549033042,0.9246088193456614,0.6908271908271908,0.9242827258577646,0.7344831418190492,0.9954615448161916,0.761780491573128,0.9599674862832758,0.783988533988534,0.9599460390889758,0.7964535607242561,0.9955092936802974,0.7612111991079406,0.9313147734200365,0.7143734643734644,0.931105002321448,0.7520629854712169,0.9940616274266831,0.7632324392586771,1.0,0.6525389025389026,1.0,0.6998317423559907,1.0,0.6980922824765398
1,5000,0.9835237842147223,0.7915286322763843,0.9835237842147223,0.8070188536639684,0.9984688836104513,0.7051380704055334,0.982460802551156,0.7886890676762897,0.9824573600191927,0.8067191232321786,0.9984949326999208,0.7701485368536555,0.9566834972096732,0.8170847136772361,0.95598602333752,0.8234975053689594,0.9981812351543943,0.7717238383059744,0.9825936752591018,0.7718883104590629,0.9826723831593952,0.795409953109865,0.9982345209817893,0.7696786702821423,0.9461865532819559,0.8225272124940842,0.9449942796349071,0.825518033500352,0.9977787806809185,0.7720507020078966,0.9764815306935956,0.7903454803596782,0.9764849806388257,0.807606911627671,0.9975474267616786,0.7704113897472845,1.0,0.6885944155229532,1.0,0.7285873788929645,1.0,0.7343832921802853
1,500,0.985,0.7039753904401325,0.9849996249906248,0.744960082188305,0.998996,0.712988246980029,0.983,0.6867013724562234,0.982999166959181,0.7317325071026235,0.9990840000000001,0.7486953825508352,0.984,0.7001893043066729,0.984,0.7422019292298065,0.99912,0.7492151866323642,0.975,0.6235210601041173,0.9749867680002722,0.6794790369765566,0.999012,0.7474047249056068,0.985,0.7158069096071935,0.9849987849015771,0.7542364117716698,0.9989520000000001,0.7495810923875714,0.975,0.6533364884051113,0.9749889701358299,0.7046616229034561,0.998648,0.7481769404013977,1.0,0.5929957406530999,1.0,0.6535499596703993,1.0,0.7234265485054385
1,5,1.0,0.7091812588736394,1.0,0.7317916031518337,1.0,0.5447129115248055,1.0,0.5170373876005679,1.0,0.5866689364919622,1.0,0.5608658801054862,1.0,0.4931377188831046,1.0,0.5635305085782346,1.0,0.5614265421497554,1.0,0.35636535731187885,1.0,0.405340521638419,1.0,0.5633554919684595,1.0,0.5151443445338382,1.0,0.5848350131885626,1.0,0.5609049221587713,1.0,0.403691433980123,1.0,0.4648630933082723,1.0,0.5643878364936967,1.0,0.4415522953147184,1.0,0.510836636181877,1.0,0.5419559069945655
1,50,1.0,0.5404637955513488,1.0,0.6060030524517894,1.0,0.6417278741647384,1.0,0.6133459536204449,1.0,0.670597071801384,1.0,0.647510183847213,1.0,0.6194983435873166,1.0,0.6755818058904017,1.0,0.6476876889964512,1.0,0.5274491244675816,1.0,0.5941587603621339,1.0,0.6464914586428891,1.0,0.6412683388547089,1.0,0.6928824561151018,1.0,0.6484226783484123,1.0,0.5603407477520114,1.0,0.6248008959889448,1.0,0.6486746357853105,1.0,0.577141504969238,1.0,0.6400077702632664,1.0,0.632701442240687
1,2500,0.974,0.6997160435399905,0.9739990639663029,0.7424593027820978,0.99735536,0.738625710644816,0.972,0.7049219119734974,0.971997199719972,0.7466651219640679,0.99717712,0.779835051864644,0.9718,0.7262186464742073,0.9717994032753733,0.7629145768638536,0.99738064,0.7806068133830711,0.9526,0.6415049692380501,0.952507216197853,0.6948375689864933,0.9965980799999999,0.7781803043736633,0.9674,0.7375769048745859,0.9673960549226457,0.7712576311003806,0.99685328,0.7812528231717311,0.9576,0.6691907240889731,0.9575509288737781,0.7180865236948106,0.99558624,0.7793774426819531,1.0,0.6294368196876479,1.0,0.6841968013312221,1.0,0.7461140672603784
