seed,data_noise_std,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
2,0.5,0.9992,0.6431952662721894,0.9991999994879996,0.6391981395243309,0.99999856,0.602442043937371,0.9924,0.6715976331360947,0.992399922175203,0.6778400739649617,0.99984704,0.7282582837723025,0.9886,0.6840236686390533,0.9885985182634337,0.6827121292762813,0.99984464,0.7278909252741028,0.9704,0.6497041420118344,0.9703747403185851,0.6611377073480453,0.99976912,0.7307278391390541,0.952,0.6230769230769231,0.9518891526076081,0.6361526859264415,0.99995008,0.7205712667394911,0.9792,0.6881656804733728,0.9791923294603323,0.6844868182467411,0.9993392,0.7364502164502165,1.0,0.6473372781065089,1.0,0.650584400838552,1.0,0.6660727434559209
2,0.05,0.9882,0.6449704142011834,0.9881998296055393,0.6504513083481648,0.99931472,0.6266375369179108,0.969,0.678698224852071,0.9689918622243222,0.6854042193485729,0.9975278399999999,0.7516527086620544,0.9744,0.6928994082840236,0.9743974397439744,0.6937272093204336,0.99755232,0.7514876400857708,0.9472,0.6692307692307692,0.9470760224070498,0.6801182873125319,0.9968580800000001,0.753112432738601,0.9332,0.6485207100591716,0.932900586312266,0.6606964242126524,0.99856752,0.7439106687704817,0.9618,0.7017751479289941,0.9617946802912837,0.7002148462300328,0.9948440000000001,0.7590354816523041,1.0,0.621301775147929,1.0,0.6312611857000342,1.0,0.6794837561192701
3,2.5,1.0,0.6539572501444252,1.0,0.5941555341185745,1.0,0.5850929104035981,1.0,0.6712882726747544,1.0,0.6757724688475566,1.0,0.6955601254586341,0.9996,0.6955517042172155,0.9995999999359999,0.6726487892287769,1.0,0.6931323233518759,0.9968,0.6441363373772386,0.9967999672316644,0.6522046200241056,1.0,0.7011672979050776,0.9992,0.7001733102253033,0.9991999994879996,0.6676454724945925,1.0,0.6958811693691561,0.9998,0.68053148469093,0.9997999999920001,0.6837223472397276,1.0,0.7041203100958693,1.0,0.6672443674176777,1.0,0.6609122828484056,1.0,0.6584936087110901
3,0.0,0.9854,0.6741767764298093,0.9853999947439981,0.6793806229668204,0.99892624,0.6575571073499822,0.9772,0.7105719237435009,0.9771978985583312,0.716821429693774,0.99800048,0.7914472126878922,0.977,0.7250144425187752,0.9769936603730522,0.726930373812206,0.99785856,0.7903183808734762,0.9278,0.682842287694974,0.9274505758555275,0.6900232728374274,0.9975531200000001,0.7949387501479465,0.9728,0.7302137492778741,0.9727877697352298,0.7303746094034951,0.99731888,0.7931441590720795,0.94,0.6978625072212594,0.9398245283245946,0.7053995391683575,0.9963515199999999,0.8001878920582317,1.0,0.5967648757943386,1.0,0.6063134423170831,1.0,0.6644839625991242
3,0.05,0.9886,0.6614673599075679,0.9885999448237329,0.6689794183655032,0.99914816,0.6571990768138242,0.979,0.7036395147313691,0.9789984467251197,0.7103756358171882,0.9985436799999999,0.791894011125577,0.9782,0.7250144425187752,0.9781924554618916,0.7259651857295677,0.99832064,0.7900757486093029,0.9378,0.6949740034662045,0.9375856716931674,0.7019950194675361,0.9981036799999999,0.7964596401941058,0.975,0.7255921432697863,0.9749876729247242,0.7238942102392271,0.9978703999999999,0.7930450349153746,0.9488,0.707683419988446,0.9486933149313356,0.7149644202853029,0.9970275200000001,0.8013019292223932,1.0,0.5892547660311959,1.0,0.5993778268744413,1.0,0.6650949816546338
3,0.5,0.9982,0.635470826112074,0.9981999941679813,0.628635104239875,0.9999990400000001,0.6201606699017634,0.99,0.7036395147313691,0.9899994815731247,0.710943495339787,0.9997942400000001,0.7889084507042254,0.986,0.7273252455228192,0.9859975602148919,0.7294940662234449,0.99967408,0.7872603266658776,0.9362,0.6724436741767764,0.9359392445385394,0.6785621753321229,0.99976768,0.7932669546691916,0.9812,0.7325245522819179,0.9811941747075574,0.7333999598869538,0.99947584,0.7915537341697242,0.9656,0.707683419988446,0.9655620411041865,0.7149560929881439,0.9994012800000001,0.7998416972422772,1.0,0.6435586366262276,1.0,0.6513523462636313,1.0,0.6784353177890875
4,0.0,0.9915202907328892,0.6219435736677116,0.9915203218445121,0.6165967852076394,0.9996009783938035,0.6355606376452224,0.9569957601453665,0.6633228840125391,0.9569856477185543,0.6648176036893133,0.9947153689359967,0.7258722975078131,0.9519483141530386,0.6551724137931034,0.9518211266697431,0.6453089277960994,0.9945185487158582,0.7263717627106666,0.8614980819705229,0.6476489028213166,0.8589968263480279,0.6436920622313216,0.993633754586221,0.7257968156282824,0.9573995558247527,0.6539184952978057,0.9573360454513429,0.6484391025389589,0.9939683652670199,0.7271089155341708,0.9295376539471027,0.6564263322884013,0.9293526216503842,0.650448482232382,0.9844109253974724,0.7315045305187694,1.0,0.5830721003134797,1.0,0.5837441015731175,1.0,0.6762999746252405
4,0.05,0.9890975166565718,0.6382445141065831,0.9890974259862847,0.6375520614583149,0.9994209539339585,0.6488101164990541,0.9535634968705835,0.6626959247648903,0.9535469116478642,0.6644266480268457,0.9940073379535262,0.7322561373192049,0.9479103573591763,0.6564263322884013,0.9477450372580175,0.6474373426449346,0.993780187525479,0.7360173833162562,0.8665455279628508,0.6576802507836991,0.8643032363592055,0.6548896709901931,0.992014023644517,0.7288305447864505,0.952755905511811,0.6601880877742947,0.9526722601462356,0.6548079593770212,0.9931160211985325,0.735675305862212,0.9252977993135474,0.6677115987460815,0.9250905663337801,0.6620621208528565,0.983403832042397,0.7382850516970575,1.0,0.6025078369905956,1.0,0.6036213226188183,1.0,0.6923487070114636
4,2.5,0.9997981021603068,0.5993730407523511,0.9997981017652342,0.5874090709060945,1.0,0.6084112509756434,1.0,0.6087774294670847,1.0,0.6060342710000931,1.0,0.6631516736099289,0.9880880274581062,0.6043887147335423,0.9880849893455372,0.5673677409112822,1.0,0.6700076766677481,0.908944074298405,0.5567398119122257,0.9082632602045878,0.5173060610720616,1.0,0.6654964298676979,0.9941449626488996,0.6037617554858934,0.9941444365021779,0.5817969251232485,1.0,0.6711222388889068,0.9059156067030083,0.5586206896551724,0.9051613832922659,0.5195404813229105,1.0,0.6676757683894736,1.0,0.6043887147335423,1.0,0.6064243501361751,1.0,0.6243957434643934
4,0.5,1.0,0.6169278996865204,1.0,0.6189092122114883,1.0,0.657209483093665,0.9921259842519685,0.6476489028213166,0.9921261261258197,0.6482968578006425,0.9998388911536893,0.7037368348360116,0.964869775893398,0.6244514106583072,0.9648145997575903,0.6136153908580592,0.9997836119037913,0.7056656377576422,0.880880274581062,0.6426332288401254,0.8793057472219574,0.6412395488052244,0.9997467590705259,0.7016602801501928,0.9753684635574399,0.6300940438871473,0.9753477379488132,0.6224310420968181,0.9997462698736241,0.7059547172962712,0.9487179487179487,0.638871473354232,0.9485575370973746,0.6307575761923482,0.9978098654708522,0.7128894142284948,1.0,0.6288401253918495,1.0,0.6296308057002674,1.0,0.6741206361034648
