seed,data_noise_std,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,0.5,0.9959357854094696,0.5452497952497952,0.9959359546099605,0.6074198749582574,0.9999648079306072,0.6859147975737057,0.9939036781142044,0.6132268632268633,0.9939038211352373,0.6699114472163776,0.9998932672449402,0.721332513820876,0.9871977240398293,0.6670761670761671,0.9871929906625657,0.7141080527917372,0.999893102023957,0.7199658760386649,0.9603739077423288,0.5286650286650286,0.9603368730702085,0.5904108207858031,0.9998602230483271,0.724012386729272,0.9845559845559846,0.6891891891891891,0.9845484643477518,0.7311698837338678,0.9998103263114415,0.7207645648187333,0.9703312334891282,0.5659295659295659,0.9703192467533476,0.6272435471369993,0.9996771581990913,0.724858768447427,1.0,0.5567158067158067,1.0,0.6193184689905358,1.0,0.6896402205966319
0,2.5,1.0,0.6644144144144144,1.0,0.7008041977829009,1.0,0.5125922791178821,1.0,0.4903767403767404,1.0,0.5590267767291578,1.0,0.5579281112924785,0.9989839463523674,0.75,0.9989839287250689,0.7540690573790627,1.0,0.5620666492016471,0.9965454175980492,0.39107289107289106,0.9965455679809233,0.4464939942449758,1.0,0.5666095694872674,0.9975614712456817,0.7899262899262899,0.9975613612457725,0.7710752693991847,1.0,0.5673464589672799,1.0,0.5634725634725635,1.0,0.6275076281617324,1.0,0.5756641745427188,1.0,0.5919328419328419,1.0,0.6459209357619713,1.0,0.4853424823166677
0,0.05,0.9766307661044503,0.7577805077805078,0.9766320092152887,0.77905492231444,0.9975601817430814,0.6586152926398376,0.9703312334891282,0.7536855036855037,0.970333142420706,0.7789808808783452,0.997202643535729,0.7598045933001498,0.9691119691119691,0.7751842751842751,0.9691013228736213,0.7924598697178916,0.9973029326724494,0.7595802349716866,0.9335500914448283,0.6863226863226863,0.9333395082005562,0.7309890287093103,0.9970058653448988,0.7612535181938483,0.9660638081690713,0.7790745290745291,0.9660456270449693,0.7929028975460078,0.996723667905824,0.7599836097508548,0.9406624669782565,0.7110974610974611,0.9405313404969085,0.7495812180628517,0.995895580338703,0.7627870812593622,1.0,0.6515151515151515,1.0,0.6987941774122451,1.0,0.6885422754233588
0,0.0,0.968705547652916,0.7618755118755118,0.968707491437261,0.781754025806406,0.997432135481206,0.6575452243247418,0.9644381223328592,0.7612612612612613,0.9644403957134772,0.784001558810719,0.9959454770755886,0.7609881842425219,0.9650477545214388,0.7735462735462736,0.9650373808830894,0.7902855756497307,0.9962101610904585,0.7608914549033042,0.9246088193456614,0.6908271908271908,0.9242827258577646,0.7344831418190492,0.9954615448161916,0.761780491573128,0.9599674862832758,0.783988533988534,0.9599460390889758,0.7964535607242561,0.9955092936802974,0.7612111991079406,0.9313147734200365,0.7143734643734644,0.931105002321448,0.7520629854712169,0.9940616274266831,0.7632324392586771,1.0,0.6525389025389026,1.0,0.6998317423559907,1.0,0.6980922824765398
1,0.0,0.974,0.6997160435399905,0.9739990639663029,0.7424593027820978,0.99735536,0.738625710644816,0.972,0.7049219119734974,0.971997199719972,0.7466651219640679,0.99717712,0.779835051864644,0.9718,0.7262186464742073,0.9717994032753733,0.7629145768638536,0.99738064,0.7806068133830711,0.9526,0.6415049692380501,0.952507216197853,0.6948375689864933,0.9965980799999999,0.7781803043736633,0.9674,0.7375769048745859,0.9673960549226457,0.7712576311003806,0.99685328,0.7812528231717311,0.9576,0.6691907240889731,0.9575509288737781,0.7180865236948106,0.99558624,0.7793774426819531,1.0,0.6294368196876479,1.0,0.6841968013312221,1.0,0.7461140672603784
1,0.05,0.9818,0.704448651206815,0.9817999934479976,0.7455911993463534,0.99867216,0.739923177950501,0.9582,0.7025556081400852,0.958190084360407,0.7448439247370691,0.99467728,0.7777599213348024,0.96,0.7252721249408424,0.9599990783787659,0.7625963871184726,0.99501456,0.7785394004684139,0.9442,0.6474207288215806,0.9440700613292825,0.6998823306261873,0.99361344,0.7764747114179392,0.9546,0.7347373402744912,0.9545913523771468,0.7694937896436882,0.9940651199999999,0.7795708370389234,0.9454,0.6727401798390913,0.9453168268937053,0.720982263795119,0.9918606400000001,0.778040479345619,1.0,0.6228111689540937,1.0,0.6786079179890696,1.0,0.7442999737147107
1,2.5,1.0,0.31897775674396595,1.0,0.3499271954024573,1.0,0.5899930677656551,0.9996,0.22621864647420728,0.9995999999359999,0.19656723807716345,1.0,0.616369152601313,0.9996,0.3752957879791765,0.9995999999359999,0.42396498931173016,1.0,0.6158407229498721,0.9988,0.22385234264079507,0.9987999982719975,0.1916939222327419,1.0,0.6219349150812643,0.9992,0.4247515380974917,0.9991999994879996,0.4854686617771473,1.0,0.6173783442809975,0.9998,0.2972077614765736,0.9997999999920001,0.3136707670586361,1.0,0.6243827610267697,1.0,0.3291528632276384,1.0,0.37492646158828186,1.0,0.5503994319835224
1,0.5,0.9988,0.5499290108849977,0.9987999992319996,0.6123547686422475,0.99999744,0.6893441979196033,0.9946,0.6008045433033602,0.9945999825039433,0.6594242691907714,0.999924,0.7272240691534639,0.9928,0.6332229058211074,0.9927996267326498,0.6877862560447852,0.99992992,0.7268109497524233,0.9758,0.5262659725508755,0.9757858192071606,0.5888647050223995,0.9998875199999999,0.7282164636706885,0.9878,0.6547562707051585,0.9877981838816889,0.7056233018295349,0.99987552,0.726437326382032,0.9846,0.5686228111689541,0.9845965342201994,0.6298166612493843,0.99975488,0.7275350436476535,1.0,0.5861334595362044,1.0,0.6467114099908219,1.0,0.7186743134613822
2,0.0,0.9753684635574399,0.7270564242012236,0.9753689615851832,0.7453559040369273,0.9972816958825927,0.7508564087924635,0.9749646678780537,0.7484704282800816,0.9749650168931732,0.7648214684184427,0.9976350591112924,0.8219409337451017,0.9761760549162124,0.7675050985723997,0.9761742113124695,0.780087431488515,0.9978281288218508,0.8220194378844107,0.949323642237028,0.6930659415363698,0.949239125823933,0.7169480800250779,0.9970930289441501,0.822306853865518,0.9362002826569755,0.6298436437797417,0.9359816138292045,0.6569471927923947,0.9984485935589074,0.8173085407313212,0.9658792650918635,0.7743031951053705,0.9658718905565997,0.7860135415120937,0.9958403587443946,0.8253782472166713,1.0,0.6135282121006118,1.0,0.642521467017451,1.0,0.7404997015545118
2,2.5,1.0,0.47178789938817134,1.0,0.510243558347037,1.0,0.5223204785508525,1.0,0.3069340584636302,1.0,0.2604469751779228,1.0,0.538266550748709,1.0,0.5438477226376615,1.0,0.5794016556709922,1.0,0.5476040017647211,1.0,0.3096532970768185,1.0,0.2629887930667531,1.0,0.5441906936911219,1.0,0.260707002039429,1.0,0.1676522724086483,1.0,0.5348590818259673,0.9995962043206138,0.600951733514616,0.9995962027073938,0.6287180828152729,1.0,0.568887057846521,1.0,0.3633582596872876,1.0,0.3786790160313316,1.0,0.46587275841486514
