seed,max_samples_per_class,Choquet_Weight_train_acc,Choquet_Weight_test_acc,Choquet_Weight_train_f1,Choquet_Weight_test_f1,Choquet_Weight_train_auc,Choquet_Weight_test_auc,Choquet_Power_train_acc,Choquet_Power_test_acc,Choquet_Power_train_f1,Choquet_Power_test_f1,Choquet_Power_train_auc,Choquet_Power_test_auc,Choquet_Weight_TN3_train_acc,Choquet_Weight_TN3_test_acc,Choquet_Weight_TN3_train_f1,Choquet_Weight_TN3_test_f1,Choquet_Weight_TN3_train_auc,Choquet_Weight_TN3_test_auc,Choquet_Weight_TN6_train_acc,Choquet_Weight_TN6_test_acc,Choquet_Weight_TN6_train_f1,Choquet_Weight_TN6_test_f1,Choquet_Weight_TN6_train_auc,Choquet_Weight_TN6_test_auc,Choquet_Power_TN3_train_acc,Choquet_Power_TN3_test_acc,Choquet_Power_TN3_train_f1,Choquet_Power_TN3_test_f1,Choquet_Power_TN3_train_auc,Choquet_Power_TN3_test_auc,Choquet_Power_TN6_train_acc,Choquet_Power_TN6_test_acc,Choquet_Power_TN6_train_f1,Choquet_Power_TN6_test_f1,Choquet_Power_TN6_train_auc,Choquet_Power_TN6_test_auc,LogisticRegression_train_acc,LogisticRegression_test_acc,LogisticRegression_train_f1,LogisticRegression_test_f1,LogisticRegression_train_auc,LogisticRegression_test_auc
0,5,1.0,0.4340239912758997,1.0,0.40901656961802846,1.0,0.4450180072028812,1.0,0.4770992366412214,1.0,0.4777747376741814,1.0,0.49420018007202876,1.0,0.5207197382769901,1.0,0.5265239009960163,1.0,0.5036214485794317,1.0,0.41657579062159217,1.0,0.3610908154158123,1.0,0.47462359943977595,1.0,0.5267175572519084,1.0,0.531146547180742,1.0,0.49808673469387754,1.0,0.42039258451472195,1.0,0.3852593542315096,1.0,0.4678633953581433,1.0,0.45965103598691387,1.0,0.45139970279963776,1.0,0.4960659263705482
0,500,0.978,0.40185387131952016,0.9779996479943679,0.33799419702269246,0.9956959999999999,0.42497123849539814,0.98,0.3942202835332606,0.9799987199180749,0.3105403219897556,0.998024,0.38615071028411363,0.974,0.39585605234460197,0.9739973997399741,0.3254413673361062,0.9981840000000001,0.3844187675070028,0.945,0.39476553980370777,0.9448450698010713,0.2881002713824853,0.99736,0.38996223489395765,0.971,0.3969465648854962,0.9709934735315446,0.33231239210872926,0.9979640000000001,0.3844812925170068,0.952,0.39476553980370777,0.9518982166263813,0.29477515696508266,0.996784,0.38962334933973597,1.0,0.38495092693565974,1.0,0.35576794088254443,1.0,0.3687887655062025
0,50,1.0,0.3887677208287895,1.0,0.2887733677791636,1.0,0.4293517406962785,1.0,0.4116684841875682,1.0,0.34180610538511347,1.0,0.45010504201680673,1.0,0.4149400218102508,1.0,0.35199071739229176,1.0,0.4501288015206082,1.0,0.40185387131952016,1.0,0.2919989450496604,1.0,0.4439338235294118,1.0,0.4154852780806979,1.0,0.3585221287747686,1.0,0.45050520208083233,1.0,0.40239912758996726,1.0,0.3004091655205764,1.0,0.44166791716686676,1.0,0.4351145038167939,1.0,0.39257166320513043,1.0,0.4657175370148059
0,5000,0.9888788698527202,0.40130861504907306,0.9888597326702433,0.39760544281458443,0.9993962779221461,0.4095188075230092,0.953712052900511,0.39531079607415487,0.9538376787759411,0.35121562106195153,0.9933075353629206,0.37352816126450583,0.9436429215509468,0.38386041439476554,0.9429731577588131,0.3601611678354823,0.9925716911429276,0.36991296518607447,0.9394349263600842,0.3914940021810251,0.9401872245534555,0.3242326239600256,0.9923929261766067,0.38069852941176474,0.9380823564773069,0.3822246455834242,0.9371733449782981,0.36222860582611616,0.9911002954403322,0.3692764605842337,0.9391343552750225,0.386041439476554,0.9397728744743189,0.32954768682858354,0.9897042308261644,0.38052971188475393,1.0,0.40621592148309704,1.0,0.40349011689933995,1.0,0.3739108143257303
0,2500,0.9902458849827271,0.3887677208287895,0.9902461138163797,0.34823950816250604,0.999592565055762,0.4266619147659064,0.9481812639707377,0.38386041439476554,0.9481780113886616,0.29845166579054466,0.9939061544816192,0.36792216886754703,0.9565129038813249,0.376226826608506,0.9564999971452391,0.30297870390167675,0.9942742668318877,0.3668029711884754,0.9152611257874416,0.3920392584514722,0.9148022313958082,0.2761064324864301,0.9931173895084675,0.37242146858743497,0.951839057102215,0.3756815703380589,0.9518122868616811,0.3069363544071935,0.9931819909128459,0.36594762905162065,0.9260312944523471,0.39585605234460197,0.9258219284068279,0.29604583235793835,0.991138703015283,0.3702706082432973,1.0,0.4116684841875682,1.0,0.39262547721657487,1.0,0.3707795618247299
1,5000,0.9865693430656934,0.721001221001221,0.9865419945753588,0.705187982288224,0.9989856647205785,0.6581516960525706,0.9816058394160584,0.7509157509157509,0.9816222598904257,0.7450079954235079,0.9984533652969341,0.8423916599245843,0.9483211678832116,0.7271062271062271,0.9474589598946564,0.7014608611925206,0.9974751025962735,0.8485305452230154,0.9764963503649635,0.7490842490842491,0.9765257442739577,0.7422128258022221,0.9975193235494245,0.846906062448437,0.9367883211678832,0.7246642246642246,0.9354069265499575,0.6946033931409246,0.9965671539577661,0.8515672748104637,0.9671532846715328,0.7478632478632479,0.967026067058555,0.735683630008191,0.9958046858462921,0.8515066359642613,1.0,0.6605616605616605,1.0,0.6564225604866721,1.0,0.7663457595095274
1,500,0.996,0.7295482295482295,0.995999935998976,0.7314120064384912,0.9997360000000001,0.7152575315840622,0.995,0.7649572649572649,0.994999954999595,0.7666940032490392,0.999916,0.8368352267015182,0.991,0.7606837606837606,0.9909992709409462,0.7608424157140726,0.999904,0.8366517144038005,0.979,0.7606837606837606,0.9789907349140972,0.7643092856220696,0.999892,0.8375692758923884,0.99,0.757020757020757,0.98999899989999,0.7556983778248146,0.999864,0.838828329830642,0.986,0.7637362637362637,0.9859979837096542,0.7666068326517427,0.999792,0.8411581381321,1.0,0.7014652014652014,1.0,0.7021851638398795,1.0,0.7530881928187649
1,5,1.0,0.6166056166056166,1.0,0.6071040986278453,1.0,0.7585999447867348,1.0,0.673992673992674,1.0,0.6792217283356184,1.0,0.7960635814260022,1.0,0.6752136752136753,1.0,0.680401855222989,1.0,0.79592155886516,1.0,0.6642246642246642,1.0,0.6673664217523866,1.0,0.7960045383389104,1.0,0.6776556776556777,1.0,0.6827355325282122,1.0,0.7963061368108116,1.0,0.6733821733821734,1.0,0.6775271910035306,1.0,0.796665182610694,1.0,0.6495726495726496,1.0,0.6554300637891101,1.0,0.7784464008451141
1,50,1.0,0.702075702075702,1.0,0.7067847972481298,1.0,0.778891617636968,1.0,0.7264957264957265,1.0,0.7310400163719222,1.0,0.8055168583971237,1.0,0.7319902319902319,1.0,0.7357287285361426,1.0,0.805620582739312,1.0,0.7130647130647131,1.0,0.716813503554416,1.0,0.8070088931655233,1.0,0.7301587301587301,1.0,0.7330174809395388,1.0,0.8068158063131421,1.0,0.7222222222222222,1.0,0.7266026093476003,1.0,0.8101174319129482,1.0,0.663003663003663,1.0,0.6685786245135948,1.0,0.7386816795683792
1,2500,0.9956,0.703907203907204,0.9955999971839982,0.6992557209795468,0.99986,0.6939030831661775,0.982,0.778998778998779,0.9819990668316246,0.7809685306168516,0.99879584,0.8459214790772045,0.9806,0.7667887667887668,0.9805960873950624,0.76613617332798,0.99863744,0.8464560583792513,0.9556,0.7796092796092796,0.9555259667452829,0.7828919981427419,0.9986320000000001,0.8467496780555995,0.9762,0.7606837606837606,0.9761906657886157,0.7588034188034188,0.99806592,0.8484204378443847,0.964,0.7851037851037851,0.9639733460403346,0.7875832181045875,0.99758224,0.850115134019829,1.0,0.6562881562881563,1.0,0.6589116287133243,1.0,0.7561472630337615
